statename,rank,countryd,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Arizona,5,Brazil,130.8,600.78,500.14,874.48,0.6875,3.0429,2.5325,4.4493,74.85
Arizona,6,Malaysia,1198.72,900.07,750.73,677.81,6.3011,4.5588,3.8014,3.4486,-9.71
Arizona,7,Japan,1376.6,1025.5,748.7,675.28,7.2361,5.1941,3.7911,3.4358,-9.81
Arizona,8,Netherlands,279.92,352.92,443.2,593.7,1.4714,1.7875,2.2442,3.0207,33.96
Arizona,9,Italy,228.9,323.81,489.13,565.03,1.2032,1.6401,2.4767,2.8748,15.52
Arizona,10,United Kingdom,431.69,485.18,670.21,561.36,2.2692,2.4574,3.3937,2.8561,-16.24
Arizona,11,Taiwan,502.65,494.83,489.75,468.33,2.6422,2.5063,2.4799,2.3828,-4.37
Arizona,12,France,283.91,357.35,437.69,457.23,1.4924,1.81,2.2163,2.3264,4.46
Arizona,13,Thailand,226.27,194.92,219.96,245.43,1.1894,0.9872,1.1138,1.2487,11.58
Arizona,14,India,175.58,193.56,224.4,213.93,0.923,0.9804,1.1363,1.0885,-4.66
Arizona,15,Singapore,398.24,217.85,211.16,200.32,2.0934,1.1034,1.0692,1.0192,-5.13
Arizona,16,"Korea, South",293.8,278.58,307.02,193.71,1.5444,1.411,1.5546,0.9856,-36.91
Arizona,17,Czech Republic,192.25,190.04,210.17,174.7,1.0106,0.9625,1.0642,0.8888,-16.88
Arizona,18,Vietnam,86.58,105.31,117.77,131.79,0.4551,0.5334,0.5963,0.6705,11.91
Arizona,19,Ireland,34.17,37.03,82.17,126.9,0.1796,0.1875,0.4161,0.6456,54.44
Arizona,20,Israel,169.05,96.02,77.75,114.16,0.8886,0.4864,0.3937,0.5808,46.84
Arizona,21,Switzerland,97.07,86.48,71.79,98.04,0.5103,0.438,0.3635,0.4988,36.56
Arizona,22,Australia,74.53,80.91,91.14,92.65,0.3917,0.4098,0.4615,0.4714,1.66
Arizona,23,Philippines,111.58,80.88,91.37,90.13,0.5865,0.4097,0.4626,0.4586,-1.35
Arizona,24,Indonesia,69.8,96.93,87.38,89.6,0.3669,0.4909,0.4424,0.4559,2.54
Arizona,25,Spain,38.32,44.04,85.13,89.55,0.2015,0.223,0.431,0.4556,5.2
Arkansas,0,World,7621.33,7609.69,7911.12,7828.87,0.336,0.3229,0.3519,0.3578,-1.04
Arkansas,0,Top 25,7295.96,7268.65,7552.19,7500,95.7308,95.5183,95.463,95.7992,-0.69
Arkansas,1,China,2263,2533.09,2576.14,3058.7,29.6929,33.2877,32.5635,39.0694,18.73
Arkansas,2,France,1910.46,1607.9,1682.01,1414.81,25.0673,21.1297,21.2613,18.0717,-15.89
Arkansas,3,Canada,1008.05,909.95,799.56,752.52,13.2267,11.9578,10.1068,9.6121,-5.88
Arkansas,4,Mexico,583.11,602.63,637.77,597.42,7.6511,7.9192,8.0617,7.6309,-6.33
Arkansas,5,Germany,335.49,274.64,419.95,308.65,4.402,3.6091,5.3084,3.9425,-26.5
Arkansas,6,India,208.66,209.38,236.63,183.02,2.7379,2.7516,2.9911,2.3377,-22.66
Arkansas,7,Taiwan,116.29,143.66,141.75,143.55,1.5259,1.8878,1.7918,1.8336,1.27
Arkansas,8,Japan,163.88,128.57,100.84,131.87,2.1503,1.6895,1.2746,1.6844,30.78
Arkansas,9,Vietnam,40.89,76.21,92.24,105.91,0.5365,1.0015,1.166,1.3528,14.81
Arkansas,10,Italy,88.41,96.52,117.14,96.78,1.1601,1.2684,1.4807,1.2362,-17.38
Arkansas,11,"Korea, South",74.36,66.94,129.36,91.64,0.9757,0.8797,1.6352,1.1706,-29.16
Arkansas,12,Malaysia,26.19,49.91,67.05,60.54,0.3436,0.6559,0.8476,0.7733,-9.71
Arkansas,13,United Kingdom,73.95,97.2,92.57,58.69,0.9702,1.2773,1.1701,0.7497,-36.6
Arkansas,14,Hungary,20.11,23.78,28.38,56.86,0.2639,0.3125,0.3587,0.7262,100.37
Arkansas,15,Brazil,15.37,22.91,53.45,52.88,0.2016,0.3011,0.6756,0.6755,-1.05
Arkansas,16,Bangladesh,30.77,36.39,40.62,49.61,0.4037,0.4782,0.5135,0.6336,22.11
Arkansas,17,Thailand,75.6,53.23,38.2,46.92,0.992,0.6995,0.4829,0.5993,22.8
Arkansas,18,Netherlands,58.38,59.17,44.11,46.8,0.766,0.7776,0.5575,0.5978,6.11
Arkansas,19,Pakistan,38.99,39.31,41.4,42.82,0.5116,0.5166,0.5233,0.547,3.45
Arkansas,20,Spain,26.68,35.99,30.78,39.14,0.3501,0.473,0.3891,0.5,27.17
Arkansas,21,Finland,12.13,11.93,12.72,38.95,0.1592,0.1568,0.1608,0.4975,206.08
Arkansas,22,Sweden,60.78,72.19,59.29,33.18,0.7975,0.9486,0.7494,0.4238,-44.04
Arkansas,23,Israel,29.85,67.66,34.74,32.12,0.3916,0.8891,0.4391,0.4103,-7.53
