statename,rank,countryd,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Florida,17,Dominican Republic,966.09,1026.18,1149.67,1157.79,1.337,1.4282,1.5661,1.5725,0.71
Florida,18,Honduras,770.43,982,966.94,1084.55,1.0662,1.3667,1.3172,1.473,12.16
Florida,19,Taiwan,1002.33,912.59,1026.41,972.25,1.3872,1.2701,1.3982,1.3205,-5.28
Florida,20,Spain,719.49,837.68,999.17,915.9,0.9957,1.1659,1.3611,1.244,-8.33
Florida,21,Ecuador,895.18,1524.48,1223.76,909.72,1.2389,2.1218,1.667,1.2356,-25.66
Florida,22,Guatemala,602.58,715.64,708.4,836.08,0.8339,0.996,0.965,1.1356,18.02
Florida,23,Costa Rica,2074.71,1429.33,697.47,800.09,2.8712,1.9893,0.9501,1.0867,14.71
Florida,24,Thailand,706.32,673.41,757.13,700.85,0.9775,0.9372,1.0314,0.9519,-7.43
Florida,25,Argentina,619.68,384.15,493.06,661.53,0.8576,0.5347,0.6717,0.8985,34.17
Georgia,0,World,75023.08,83876.05,88692.31,86185.41,3.3079,3.5596,3.9451,3.9394,-2.83
Georgia,0,Top 25,67571.03,75677.69,80644.37,78283.53,90.067,90.2256,90.926,90.8315,-2.93
Georgia,1,China,17623.24,18697.14,19792.96,18505.22,23.4904,22.2914,22.3164,21.4714,-6.51
Georgia,2,Germany,13343.27,17258.13,16391.65,13772.48,17.7855,20.5758,18.4815,15.9801,-15.98
Georgia,3,Mexico,5303.08,6090.33,6278.26,6469.43,7.0686,7.2611,7.0787,7.5064,3.04
Georgia,4,"Korea, South",6175.46,6221.12,7347.8,6298.12,8.2314,7.417,8.2846,7.3076,-14.29
Georgia,5,Japan,4469.52,4353.58,4634.28,5074.1,5.9575,5.1905,5.2251,5.8874,9.49
Georgia,6,Canada,4106.15,5025.16,4211.94,3996.77,5.4732,5.9912,4.7489,4.6374,-5.11
Georgia,7,United Kingdom,1897.32,2109.11,3557.48,3713.46,2.529,2.5146,4.011,4.3087,4.38
Georgia,8,India,1608.23,1846.68,2103.49,2119.71,2.1436,2.2017,2.3717,2.4595,0.77
Georgia,9,France,1543.34,1622.18,1859.31,2033.57,2.0572,1.934,2.0964,2.3595,9.37
Georgia,10,Italy,1258.08,1508.6,1572.05,1701,1.6769,1.7986,1.7725,1.9736,8.2
Georgia,11,Taiwan,1103.8,1240.84,1446.4,1617.79,1.4713,1.4794,1.6308,1.8771,11.85
Georgia,12,Thailand,1218.65,1380.43,1369.61,1594,1.6244,1.6458,1.5442,1.8495,16.38
Georgia,13,Malaysia,780.75,744.98,832.87,1270.28,1.0407,0.8882,0.9391,1.4739,52.52
Georgia,14,Chile,868.2,464.65,924.33,1227.42,1.1572,0.554,1.0422,1.4242,32.79
Georgia,15,Vietnam,960.05,1254.24,1352.68,1211.66,1.2797,1.4953,1.5251,1.4059,-10.43
Georgia,16,Ireland,673.23,656.29,775.56,1067.81,0.8974,0.7825,0.8744,1.239,37.68
Georgia,17,Belgium,400.75,568.62,848.08,1045.8,0.5342,0.6779,0.9562,1.2134,23.31
Georgia,18,Indonesia,694.74,868.46,1037.09,1007.65,0.926,1.0354,1.1693,1.1692,-2.84
Georgia,19,Austria,689.98,661.71,718.46,875.57,0.9197,0.7889,0.8101,1.0159,21.87
Georgia,20,Netherlands,795.59,902.48,816.23,778,1.0605,1.076,0.9203,0.9027,-4.68
Georgia,21,Brazil,617.72,725.18,698.25,632.42,0.8234,0.8646,0.7873,0.7338,-9.43
Georgia,22,Switzerland,385.36,406.97,374.47,621.54,0.5137,0.4852,0.4222,0.7212,65.98
Georgia,23,Bangladesh,380.68,523.58,621.58,568.38,0.5074,0.6242,0.7008,0.6595,-8.56
Georgia,24,Singapore,418.92,302.65,653.26,563.57,0.5584,0.3608,0.7365,0.6539,-13.73
Georgia,25,Sweden,254.93,244.56,426.27,517.79,0.3398,0.2916,0.4806,0.6008,21.47
Hawaii,0,World,6097.34,5329.2,3755.95,2930.99,0.2688,0.2262,0.1671,0.134,-21.96
Hawaii,0,Top 25,5010.58,4873.9,3585.67,2829.05,82.1765,91.4564,95.4663,96.522,-21.1
Hawaii,1,Indonesia,810.1,785.27,816.42,696.8,13.2861,14.7352,21.7366,23.7736,-14.65
Hawaii,2,Japan,437.85,316.83,310.92,376.89,7.181,5.9452,8.278,12.859,21.22
Hawaii,3,Russia,534.65,0.02,477.03,282.39,8.7686,0.0004,12.7007,9.6346,-40.8
Hawaii,4,China,298.94,262.15,278.74,242.61,4.9029,4.9192,7.4214,8.2775,-12.96
Hawaii,5,Canada,139.61,255.29,265.38,229.52,2.2898,4.7904,7.0657,7.8308,-13.51
Hawaii,6,"Korea, South",536.13,194.22,213.79,158.83,8.7929,3.6444,5.692,5.419,-25.71
Hawaii,7,Libya,104.81,0,16.67,143.88,1.719,0,0.4437,4.9088,763.34
Hawaii,8,United Arab Emirates,0.15,633.59,33.73,116.67,0.0025,11.889,0.898,3.9807,245.92
Hawaii,9,Vietnam,537.82,445.71,192.87,83.68,8.8206,8.3635,5.1351,2.8551,-56.61
Hawaii,10,Malaysia,36.73,15.4,19.39,78.81,0.6023,0.289,0.5162,2.6889,306.46
Hawaii,11,Taiwan,44.77,45.85,50.88,50.87,0.7343,0.8604,1.3547,1.7357,-0.02
Hawaii,12,Italy,43.35,42.52,38.15,49.44,0.711,0.7979,1.0157,1.6869,29.6
Hawaii,13,Argentina,265.17,530.56,131.56,44.18,4.3489,9.9558,3.5028,1.5074,-66.42
Hawaii,14,Australia,56.77,25.43,29.73,40.63,0.931,0.4772,0.7916,1.3863,36.66
Hawaii,15,Thailand,364.49,290.75,37.84,39.01,5.9778,5.4559,1.0076,1.3309,3.08
Hawaii,16,Philippines,29.02,27.28,28.02,27.64,0.476,0.5119,0.7459,0.9429,-1.36
Hawaii,17,New Zealand,31.9,31.22,26.78,25.27,0.5232,0.5859,0.7129,0.8621,-5.63
Hawaii,18,Germany,30.6,30.78,31.89,25.18,0.5019,0.5775,0.8489,0.8589,-21.04
Hawaii,19,Netherlands,24.94,18.98,18.94,24.62,0.409,0.3561,0.5042,0.8401,30.01
Hawaii,20,France,605.92,663.83,387.52,22.54,9.9374,12.4565,10.3176,0.769,-94.18
Hawaii,21,Switzerland,35.31,32.27,17.07,19.16,0.579,0.6056,0.4544,0.6536,12.24
Hawaii,22,United Kingdom,29.74,35.55,31.75,15.07,0.4878,0.6671,0.8455,0.5142,-52.54
Hawaii,23,Spain,2.15,13.06,10.51,13.01,0.0352,0.245,0.2799,0.444,23.78
Hawaii,24,Mexico,9.65,97.5,8.65,11.7,0.1583,1.8296,0.2303,0.3991,35.24
Hawaii,25,Nigeria,0,79.82,111.43,10.63,0,1.4978,2.9667,0.3627,-90.46
Idaho,0,World,5544.76,5695.6,5165.62,4493.92,0.2445,0.2417,0.2298,0.2054,-13
Idaho,0,Top 25,5405.2,5529.51,5023.62,4355.88,97.483,97.0839,97.251,96.9284,-13.29
Idaho,1,China,1099.75,1499.23,1582.95,1420.24,19.8341,26.3226,30.644,31.6036,-10.28
Idaho,2,Canada,1018.51,882.26,912.23,998.81,18.3689,15.4902,17.6596,22.2259,9.49
Idaho,3,Singapore,774.24,594.85,503.95,407.69,13.9634,10.4441,9.7558,9.072,-19.1
Idaho,4,Taiwan,952.53,1033.52,841.81,381.51,17.1789,18.1459,16.2965,8.4895,-54.68
Idaho,5,Japan,365.83,536.18,431.46,327.4,6.5978,9.414,8.3524,7.2854,-24.12
Idaho,6,Mexico,74.24,97.64,137.57,115.27,1.3389,1.7143,2.6631,2.565,-16.21
Idaho,7,"Korea, South",452.62,329.4,178.28,114.07,8.163,5.7834,3.4513,2.5384,-36.01
Idaho,8,Malaysia,13.43,16.62,42.85,111.38,0.2423,0.2919,0.8295,2.4785,159.95
Idaho,9,Germany,98.32,64.14,63.54,79.93,1.7732,1.126,1.2301,1.7786,25.79
Idaho,10,Switzerland,5.97,6.5,4.64,43.8,0.1077,0.1141,0.0898,0.9746,844.06
Idaho,11,Greece,71.12,60.14,42.08,36.55,1.2826,1.0559,0.8147,0.8132,-13.16
Idaho,12,Thailand,6.47,8.83,15.94,35.05,0.1167,0.1551,0.3085,0.78,119.96
Idaho,13,Italy,216.46,153.05,25.64,29.66,3.9039,2.6871,0.4964,0.6601,15.68
Idaho,14,New Zealand,54.02,36.47,28.81,28.87,0.9743,0.6403,0.5578,0.6424,0.18
Idaho,15,Australia,24.63,6.49,15.51,28.64,0.4442,0.114,0.3002,0.6373,84.67
Idaho,16,Vietnam,21.53,29.4,31.98,28.61,0.3883,0.5162,0.619,0.6367,-10.52
Idaho,17,Israel,46.54,56.35,31.21,22.93,0.8394,0.9894,0.6042,0.5102,-26.55
Idaho,18,France,24.29,17.74,42.93,22.39,0.4381,0.3115,0.8311,0.4982,-47.85
Idaho,19,Cyprus,12.7,24.4,4.11,22.26,0.2291,0.4284,0.0795,0.4953,441.94
Idaho,20,United Kingdom,28.84,39.15,27.64,20.47,0.5201,0.6873,0.5352,0.4555,-25.95
Idaho,21,Indonesia,16.55,7.5,11.13,19.41,0.2984,0.1318,0.2154,0.4319,74.39
Idaho,22,Netherlands,18.43,16.03,27.51,18.35,0.3324,0.2814,0.5325,0.4083,-33.29
Idaho,23,Oman,0.27,0.05,0.02,15.17,0.0048,0.0008,0.0003,0.3375,86424.18
Idaho,24,Ireland,0.56,1.59,7.03,13.88,0.0102,0.0279,0.1361,0.3089,97.47
Idaho,25,Chile,7.34,11.98,12.81,13.55,0.1324,0.2103,0.248,0.3014,5.74
Illinois,0,World,124766.21,140362.57,121292.73,121529.42,5.5012,5.9568,5.3951,5.5549,0.2
Illinois,0,Top 25,117727.75,132737.41,114547.98,115042.66,94.3587,94.5675,94.4393,94.6624,0.43
Illinois,1,China,25784.32,29503.95,31235.91,30218.3,20.6661,21.0198,25.7525,24.865,-3.26
Illinois,2,Canada,39880.1,45487.23,29625.64,25316.87,31.9639,32.407,24.4249,20.8319,-14.54
Illinois,3,Mexico,11675.48,13442.43,13233.05,11726.6,9.3579,9.5769,10.91,9.6492,-11.38
Illinois,4,Japan,7925.49,7697.16,7100.77,9824.68,6.3523,5.4838,5.8542,8.0842,38.36
Illinois,5,"Korea, South",4609.51,5092.78,4067.89,5818.44,3.6945,3.6283,3.3538,4.7877,43.03
Illinois,6,Germany,4928.28,5378.77,4577.47,4977.39,3.95,3.8321,3.7739,4.0956,8.74
Illinois,7,Vietnam,1362.5,2318.18,2690.21,2796.35,1.092,1.6516,2.2179,2.301,3.95
Illinois,8,United Kingdom,1843.03,2005.69,1901.43,2590.12,1.4772,1.4289,1.5676,2.1313,36.22
Illinois,9,Italy,1498.9,1670.89,1785.56,2158.85,1.2014,1.1904,1.4721,1.7764,20.91
Illinois,10,Taiwan,2182.35,2156.82,2223.84,2151.3,1.7492,1.5366,1.8335,1.7702,-3.26
Illinois,11,Singapore,868.46,877.45,833.76,1994.62,0.6961,0.6251,0.6874,1.6413,139.23
Illinois,12,France,1343.14,1346.48,1302.13,1691.25,1.0765,0.9593,1.0735,1.3916,29.88
Illinois,13,Switzerland,3173.69,2825.32,1123.95,1686.49,2.5437,2.0129,0.9266,1.3877,50.05
Illinois,14,Malaysia,1721.11,1725.17,1645.14,1546.57,1.3795,1.2291,1.3563,1.2726,-5.99
Illinois,15,Brazil,742.61,1816.01,1781.75,1531.49,0.5952,1.2938,1.469,1.2602,-14.05
Illinois,16,India,1192.53,1367.82,1415.81,1422.01,0.9558,0.9745,1.1673,1.1701,0.44
Illinois,17,Ireland,610.49,1802.52,1984.54,1265.77,0.4893,1.2842,1.6362,1.0415,-36.22
Illinois,18,Belgium,572.3,544.32,479.17,1175.73,0.4587,0.3878,0.3951,0.9674,145.37
Illinois,19,Thailand,1002.76,1199.24,1172.07,1086.39,0.8037,0.8544,0.9663,0.8939,-7.31
Illinois,20,Australia,578.08,787.2,993.97,955.45,0.4633,0.5608,0.8195,0.7862,-3.87
Illinois,21,Netherlands,1706.3,931.79,927.73,745.27,1.3676,0.6638,0.7649,0.6132,-19.67
Illinois,22,Indonesia,729.16,930.21,823.11,731.31,0.5844,0.6627,0.6786,0.6018,-11.15
Illinois,23,Israel,567.68,574.28,421.05,546.39,0.455,0.4091,0.3471,0.4496,29.77
Illinois,24,Spain,769.95,714.47,617.05,543.07,0.6171,0.509,0.5087,0.4469,-11.99
Illinois,25,New Zealand,459.54,541.23,584.99,541.93,0.3683,0.3856,0.4823,0.4459,-7.36
Indiana,0,World,45677.67,48901.64,49076.75,49536.71,2.014,2.0753,2.183,2.2642,0.94
Indiana,0,Top 25,44010.28,47082.71,47454.98,48026.69,96.3497,96.2804,96.6954,96.9517,1.2
Indiana,1,Ireland,6807.41,6570.2,5853.96,8398.72,14.9031,13.4355,11.9282,16.9545,43.47
Indiana,2,China,6795.11,7720.8,8326.96,7885.54,14.8762,15.7884,16.9672,15.9186,-5.3
Indiana,3,Canada,7789.11,8150.64,7882.57,7277.43,17.0523,16.6674,16.0617,14.691,-7.68
Indiana,4,Mexico,3966.77,5140.19,5267.9,4491.22,8.6843,10.5113,10.734,9.0664,-14.74
Indiana,5,Japan,4971.95,4965.05,4375.64,3926.47,10.8849,10.1531,8.9159,7.9264,-10.27
Indiana,6,Denmark,2549.43,3022.92,3305.96,3256.24,5.5813,6.1816,6.7363,6.5734,-1.5
Indiana,7,Germany,2369.31,2170.93,2505.57,2529.9,5.187,4.4394,5.1054,5.1071,0.97
Indiana,8,France,1324.33,1336.01,1543.75,1903.6,2.8993,2.732,3.1456,3.8428,23.31
Indiana,9,Switzerland,1504.89,1316.7,1189.64,1275.47,3.2946,2.6925,2.424,2.5748,7.22
Indiana,10,United Kingdom,1037.19,914.82,970.25,1199.33,2.2707,1.8707,1.977,2.4211,23.61
Indiana,11,Taiwan,579.05,692.04,767.7,682.01,1.2677,1.4152,1.5643,1.3768,-11.16
Indiana,12,Vietnam,366.68,506.59,670.75,673.52,0.8028,1.0359,1.3667,1.3596,0.41
Indiana,13,Italy,609.37,688.82,616.86,562.07,1.3341,1.4086,1.2569,1.1347,-8.88
Indiana,14,"Korea, South",323.18,319.97,335.48,547.13,0.7075,0.6543,0.6836,1.1045,63.09
Indiana,15,Brazil,693.02,836.35,1041.85,498.73,1.5172,1.7103,2.1229,1.0068,-52.13
Indiana,16,Thailand,526.74,603.76,507.01,458.3,1.1532,1.2346,1.0331,0.9252,-9.61
Indiana,17,Indonesia,167.92,362.31,462.81,412.1,0.3676,0.7409,0.943,0.8319,-10.96
Indiana,18,Netherlands,453.25,477.23,403.16,404.97,0.9923,0.9759,0.8215,0.8175,0.45
Indiana,19,India,393.05,428.47,405.35,384.74,0.8605,0.8762,0.826,0.7767,-5.08
Indiana,20,Philippines,78.71,194.43,257.16,290.2,0.1723,0.3976,0.524,0.5858,12.85
Indiana,21,Spain,96.85,109.22,182.9,239.54,0.212,0.2233,0.3727,0.4836,30.97
Indiana,22,Malaysia,202.12,162.82,168.46,191.48,0.4425,0.3329,0.3433,0.3865,13.67
Indiana,23,Austria,167.87,197.1,203.1,187.88,0.3675,0.4031,0.4138,0.3793,-7.49
Indiana,24,Honduras,189.67,167.43,198.5,181.59,0.4152,0.3424,0.4045,0.3666,-8.52
Indiana,25,Argentina,47.3,27.92,11.69,168.51,0.1036,0.0571,0.0238,0.3402,1341.38
Iowa,0,World,9570.13,10087.42,9363.11,8233.91,0.422,0.4281,0.4165,0.3764,-12.06
Iowa,0,Top 25,9240,9764.51,9013.06,7899.74,96.5503,96.7989,96.2614,95.9416,-12.35
Iowa,1,Canada,3379.55,3367.07,2749.09,2449.39,35.3135,33.3789,29.3609,29.7476,-10.9
Iowa,2,China,1354.17,1415.61,1511.28,1398,14.15,14.0334,16.1408,16.9785,-7.5
Iowa,3,Mexico,1470.74,1728.08,1612.08,1152.1,15.3681,17.131,17.2174,13.9922,-28.53
Iowa,4,Germany,680.91,756.97,596.62,567.32,7.1149,7.5041,6.372,6.8901,-4.91
Iowa,5,Japan,290.18,278.15,382.4,466.71,3.0322,2.7574,4.0841,5.6682,22.05
Iowa,6,Italy,305.7,327.62,284.75,243.91,3.1943,3.2478,3.0412,2.9622,-14.34
Iowa,7,India,133.98,151.49,165.81,204.89,1.4,1.5018,1.7709,2.4883,23.56
Iowa,8,Taiwan,178.75,177.29,185.09,165.79,1.8677,1.7576,1.9768,2.0135,-10.43
Iowa,9,France,178.01,170.71,190.7,148.6,1.86,1.6923,2.0367,1.8048,-22.07
Iowa,10,United Kingdom,113.43,121.67,140.64,136.38,1.1853,1.2061,1.5021,1.6563,-3.03
Iowa,11,Brazil,125.17,131.22,119.67,104.09,1.3079,1.3008,1.2781,1.2642,-13.02
Iowa,12,Netherlands,81.23,92.43,99.6,97.8,0.8488,0.9163,1.0638,1.1877,-1.81
Iowa,13,"Korea, South",144.36,158.61,130.88,94.54,1.5085,1.5724,1.3978,1.1482,-27.76
Iowa,14,Israel,66.78,93.79,91.42,88.21,0.6978,0.9298,0.9764,1.0713,-3.5
Iowa,15,Spain,92.98,156.94,167.94,75.86,0.9715,1.5558,1.7936,0.9213,-54.83
Iowa,16,Switzerland,41.37,65.82,62.62,75.41,0.4323,0.6525,0.6688,0.9158,20.41
Iowa,17,Vietnam,44.19,63.71,73.88,69.85,0.4618,0.6316,0.789,0.8484,-5.44
Iowa,18,Poland,77.49,82.5,72.52,61.85,0.8097,0.8179,0.7746,0.7512,-14.71
Iowa,19,Denmark,75.16,83.65,79.35,56.57,0.7854,0.8293,0.8475,0.687,-28.71
Iowa,20,Chile,141.03,96.6,39.95,53.13,1.4736,0.9576,0.4267,0.6452,32.97
Iowa,21,Austria,100.67,88.57,96.33,52.91,1.0519,0.878,1.0288,0.6425,-45.08
Iowa,22,Indonesia,19.3,29.22,41.61,36.47,0.2016,0.2897,0.4444,0.4429,-12.34
Iowa,23,Belgium,38.63,38.4,38.83,36,0.4036,0.3807,0.4147,0.4373,-7.28
Iowa,24,Thailand,49.57,58.63,45.62,34.62,0.518,0.5813,0.4872,0.4205,-24.11
Iowa,25,Argentina,56.65,29.76,34.36,29.33,0.592,0.2951,0.367,0.3562,-14.66
Kansas,0,World,10756.38,11809.34,11773.44,11157.31,0.4743,0.5012,0.5237,0.51,-5.23
Kansas,0,Top 25,9921.58,10769.88,10900.42,10485.07,92.239,91.198,92.5848,93.975,-3.81
Kansas,1,China,2115.18,2353.95,2625.48,2364.48,19.6644,19.933,22.3,21.1922,-9.94
Kansas,2,Canada,1709.05,1711.31,1594.63,1629.35,15.8888,14.4912,13.5443,14.6035,2.18
Kansas,3,Taiwan,1040.37,1157.19,1065.59,924.17,9.6721,9.7989,9.0508,8.2831,-13.27
Kansas,4,Germany,757.62,745.1,915.09,904.2,7.0435,6.3094,7.7725,8.1041,-1.19
Kansas,5,Mexico,962.28,966.17,1019.85,815.98,8.9461,8.1814,8.6623,7.3134,-19.99
Kansas,6,United Kingdom,377.04,441.88,542.23,492.37,3.5052,3.7418,4.6055,4.413,-9.19
Kansas,7,Vietnam,300.44,343.86,370.61,456.04,2.7931,2.9117,3.1479,4.0874,23.05
Kansas,8,Japan,192.98,210.73,426.87,384.79,1.7941,1.7845,3.6257,3.4488,-9.86
Kansas,9,France,205.7,242.68,226.91,309.25,1.9124,2.055,1.9273,2.7717,36.29
Kansas,10,"Korea, South",263.03,277.34,279.43,256.49,2.4453,2.3485,2.3734,2.2988,-8.21
Kansas,11,Brazil,194.04,206.01,223.02,248.03,1.804,1.7445,1.8943,2.2231,11.22
Kansas,12,Australia,268.37,314.56,273.96,241.8,2.495,2.6637,2.3269,2.1672,-11.74
Kansas,13,Indonesia,142.61,145.68,165.13,182.61,1.3258,1.2336,1.4025,1.6367,10.59
Kansas,14,Italy,511.72,610.31,164.08,171.11,4.7574,5.168,1.3936,1.5336,4.28
Kansas,15,Malaysia,118.48,130.85,122.34,154.3,1.1015,1.108,1.0391,1.383,26.13
Kansas,16,Singapore,94.8,103.77,157.03,151.14,0.8814,0.8787,1.3338,1.3547,-3.75
Kansas,17,Spain,68.35,84.88,54.82,128.92,0.6354,0.7188,0.4657,1.1555,135.16
Kansas,18,Turkey,92.28,96.67,111.98,107.3,0.8579,0.8186,0.9511,0.9617,-4.18
Kansas,19,India,69.15,95.6,82.71,99.26,0.6428,0.8095,0.7025,0.8896,20
Kansas,20,Sweden,104.33,111.65,97.96,91.07,0.9699,0.9454,0.8321,0.8162,-7.04
Kansas,21,Israel,71.94,80.2,81.35,83.65,0.6688,0.6791,0.6909,0.7497,2.83
Kansas,22,Denmark,138.09,205,120.48,79.26,1.2838,1.7359,1.0233,0.7103,-34.22
Kansas,23,Netherlands,62.74,69.34,61.92,76.77,0.5833,0.5872,0.5259,0.6881,24
Kansas,24,Czech Republic,35.72,35.39,46.26,68.82,0.3321,0.2996,0.3929,0.6168,48.78
Kansas,25,Philippines,25.24,29.76,70.7,63.9,0.2347,0.252,0.6005,0.5727,-9.62
Kentucky,0,World,37859.69,39352.92,38658.44,40001.59,1.6693,1.6701,1.7195,1.8284,3.47
Kentucky,0,Top 25,35056.64,36571.8,36650.64,37935.78,92.5962,92.9329,94.8063,94.8357,3.51
Kentucky,1,China,6639.59,6873.29,6059.24,5893.38,17.5374,17.4658,15.6738,14.7329,-2.74
Kentucky,2,Mexico,4977.14,5511.86,6089.3,5197.07,13.1463,14.0062,15.7515,12.9922,-14.65
Kentucky,3,Japan,4925.68,5005.6,4847.56,5129.39,13.0104,12.7198,12.5395,12.823,5.81
Kentucky,4,Canada,4014.26,4039,3716.12,3469.52,10.603,10.2635,9.6127,8.6734,-6.64
Kentucky,5,Germany,2047.99,2182.97,2015.35,2545.19,5.4094,5.5472,5.2132,6.3627,26.29
Kentucky,6,France,1692.95,1861.99,2243.1,2373.68,4.4716,4.7315,5.8024,5.934,5.82
Kentucky,7,Switzerland,1200.36,1499.65,1303.22,1937.37,3.1706,3.8108,3.3711,4.8432,48.66
Kentucky,8,India,859.09,845.79,1176.64,1913.14,2.2691,2.1493,3.0437,4.7826,62.59
Kentucky,9,Italy,1629.33,1375.74,1496.57,1372.72,4.3036,3.4959,3.8713,3.4317,-8.28
Kentucky,10,Belgium,151.76,530.23,1067.84,1368.92,0.4009,1.3474,2.7622,3.4222,28.19
Kentucky,11,United Kingdom,1134,1173.12,1160.88,1335.42,2.9953,2.981,3.0029,3.3384,15.03
Kentucky,12,"Korea, South",842.72,731.49,820.53,871.43,2.2259,1.8588,2.1225,2.1785,6.2
Kentucky,13,Ireland,531.91,547.89,477.29,685.18,1.4049,1.3923,1.2346,1.7129,43.56
Kentucky,14,Taiwan,478.53,447.3,567.4,616.25,1.264,1.1366,1.4677,1.5406,8.61
Kentucky,15,Vietnam,417.13,446.62,513.21,460.73,1.1018,1.1349,1.3275,1.1518,-10.23
Kentucky,16,Austria,256.66,332.06,432.39,450.98,0.6779,0.8438,1.1185,1.1274,4.3
Kentucky,17,Netherlands,339.14,281.32,278.1,352.31,0.8958,0.7149,0.7194,0.8807,26.68
Kentucky,18,Indonesia,398.23,336.24,300.3,288.74,1.0519,0.8544,0.7768,0.7218,-3.85
Kentucky,19,Philippines,490.9,407.99,328.76,272.78,1.2966,1.0367,0.8504,0.6819,-17.03
Kentucky,20,Brazil,290.53,275.16,246.57,269.34,0.7674,0.6992,0.6378,0.6733,9.23
Kentucky,21,Thailand,562.79,592.24,381.98,257.86,1.4865,1.505,0.9881,0.6446,-32.49
Kentucky,22,Sweden,304.3,355.77,284.18,226.73,0.8037,0.904,0.7351,0.5668,-20.22
Kentucky,23,El Salvador,239.62,226.23,202.1,224.13,0.6329,0.5749,0.5228,0.5603,10.9
Kentucky,24,Spain,468.51,497.46,431.72,219.33,1.2375,1.2641,1.1167,0.5483,-49.2
Kentucky,25,Turkey,163.51,194.79,210.29,204.19,0.4319,0.495,0.544,0.5105,-2.9
Louisiana,0,World,66214.19,57610.89,35249.68,32423.7,2.9195,2.4449,1.5679,1.482,-8.02
Louisiana,0,Top 25,57092.69,49679.13,30280.13,27373.63,86.2242,86.2322,85.9018,84.4248,-9.6
Louisiana,1,Saudi Arabia,14609.98,11483.99,5874.62,4648.93,22.0647,19.9337,16.6657,14.3381,-20.86
Louisiana,2,Venezuela,8695.66,8385.26,4612.13,3338.16,13.1326,14.555,13.0842,10.2954,-27.62
Louisiana,3,Russia,5759.89,4131.77,2597.09,2396.58,8.6989,7.1719,7.3677,7.3915,-7.72
Louisiana,4,Iraq,2374.57,1877.77,1049.38,2031.17,3.5862,3.2594,2.977,6.2645,93.56
Louisiana,5,Algeria,1640.61,1833.97,1916.1,1870.81,2.4777,3.1834,5.4358,5.7699,-2.36
Louisiana,6,Canada,1921.33,2070.7,1508.43,1481.08,2.9017,3.5943,4.2793,4.5679,-1.81
Louisiana,7,Colombia,2840.94,1929.64,1182.82,1198.53,4.2905,3.3494,3.3555,3.6965,1.33
Louisiana,8,China,1024.25,1310.8,1293.73,1153.29,1.5469,2.2753,3.6702,3.5569,-10.86
Louisiana,9,Brazil,1431.76,2436.57,1840.56,1115.64,2.1623,4.2294,5.2215,3.4408,-39.39
Louisiana,10,Mexico,4701.86,3290.89,1474.87,1098.54,7.101,5.7123,4.1841,3.3881,-25.52
Louisiana,11,Kuwait,5238.23,4207.4,1291.6,1070.35,7.911,7.3031,3.6642,3.3011,-17.13
Louisiana,12,"Korea, South",467.28,685.78,664.63,848.59,0.7057,1.1904,1.8855,2.6172,27.68
Louisiana,13,Indonesia,534.16,550.5,416.63,508.94,0.8067,0.9555,1.182,1.5697,22.16
Louisiana,14,Germany,743.75,796.54,684.66,507.07,1.1233,1.3826,1.9423,1.5639,-25.94
Louisiana,15,Chile,160.18,167.71,138.5,456.03,0.2419,0.2911,0.3929,1.4065,229.26
Louisiana,16,Japan,366.01,404.94,300.79,439.89,0.5528,0.7029,0.8533,1.3567,46.24
Louisiana,17,United Kingdom,873.79,745.28,546.44,436.64,1.3196,1.2936,1.5502,1.3467,-20.09
Louisiana,18,Morocco,202.49,173.8,233.9,394.67,0.3058,0.3017,0.6636,1.2172,68.73
Louisiana,19,Chad,1125.95,749.62,645.53,393.16,1.7005,1.3012,1.8313,1.2126,-39.09
Louisiana,20,Italy,202.93,470.67,350.73,386.25,0.3065,0.817,0.995,1.1913,10.13
Louisiana,21,France,436.89,478.27,447.58,331.09,0.6598,0.8302,1.2697,1.0211,-26.03
Louisiana,22,Trinidad and Tobago,570.56,681.68,508.23,321.32,0.8617,1.1832,1.4418,0.991,-36.78
Louisiana,23,Malaysia,435.65,425.42,329.89,319.08,0.6579,0.7384,0.9359,0.9841,-3.28
Louisiana,24,Peru,689,348.36,264.87,317.53,1.0406,0.6047,0.7514,0.9793,19.88
Louisiana,25,Switzerland,44.96,41.83,106.39,310.3,0.0679,0.0726,0.3018,0.957,191.66
Massachusetts,0,World,34361.33,34525.04,33652.69,33801.45,1.5151,1.4652,1.4969,1.545,0.44
Massachusetts,0,Top 25,30906.23,30777.99,30442.95,31293.05,89.9448,89.1469,90.4621,92.579,2.79
Massachusetts,1,Canada,8679.8,8590.3,7720.58,7231.09,25.2604,24.8814,22.9419,21.3928,-6.34
Massachusetts,2,China,4626.8,4414.04,4405.53,4348.72,13.4651,12.785,13.0912,12.8655,-1.29
Massachusetts,3,Mexico,3378.83,3622.1,3940.32,3534,9.8332,10.4912,11.7088,10.4552,-10.31
Massachusetts,4,Japan,863.39,937.27,1233.22,2352.09,2.5127,2.7147,3.6645,6.9586,90.73
Massachusetts,5,Ireland,1669.13,1604.42,1765.62,2042.54,4.8576,4.6471,5.2466,6.0427,15.68
Massachusetts,6,Germany,1736.9,1858.27,1826.4,1818.71,5.0548,5.3824,5.4272,5.3806,-0.42
