statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Texas,"[-98.82202148437499, 31.80055833029521]",0,World,,277715.52,285559.32,248605.73,231106.72,17.5934,17.6068,16.5395,15.9273,-7.04
Texas,"[-98.82202148437499, 31.80055833029521]",0,Top 25,,235083.09,242723.81,213584.37,199040.97,84.6489,84.9994,85.9129,86.1251,-6.81
California,"[-119.7509765625,36.84446074079564]",0,World,,168191.55,173868.59,165379.58,163512.85,10.655,10.7202,11.0026,11.2689,-1.13
California,"[-119.7509765625,36.84446074079564]",0,Top 25,,147928.18,151359.43,146635.66,145057.22,87.9522,87.0539,88.6661,88.713,-1.08
Texas,"[-98.82202148437499, 31.80055833029521]",1,Mexico,"[-102.3046875,23.926013033021192]",99256.92,100096.45,92945.64,91745.88,35.7405,35.0528,37.3868,39.6985,-1.29
New York,"[-75.706787109375,42.771211138625894]",0,World,,86407.15,88834.33,83134.46,76720.21,5.4739,5.4773,5.5309,5.2874,-7.72
Washington,"[-120.1080322265625, 48.011975126709956]",0,World,,81629.98,90558.27,86378.71,79559.49,5.1713,5.5836,5.7467,5.483,-7.89
New York,"[-75.706787109375,42.771211138625894]",0,Top 25,,76703.69,80783,75729.23,70087.45,88.7701,90.9367,91.0925,91.3546,-7.45
Washington,"[-120.1080322265625, 48.011975126709956]",0,Top 25,,69421.91,74795.26,74503.02,70160.12,85.0446,82.5935,86.2516,88.1857,-5.83
Illinois,"[-89.000244140625,40.10328591293439]",0,World,,66212.89,68394,63401.86,59757.9,4.1946,4.217,4.2181,4.1184,-5.75
Louisiana,"[-92.26318359375,30.968189296794247]",0,World,,63247.02,64770.1,48685.89,48418.79,4.0067,3.9935,3.239,3.3369,-0.55
Florida,"[-81.947021484375,28.87353946316266]",0,World,      ,60482.24,58438.83,53899.59,52049.37,3.8316,3.6032,3.5859,3.5871,-3.43
Michigan,"[-84.638671875,44.84029065139799]",0,World,,59399.81,57573.11,53954.03,54713.48,3.763,3.5498,3.5895,3.7707,1.41
Illinois,"[-89.000244140625,40.10328591293439]",0,Top 25,,58841.7,61027.11,56711.76,53337.96,88.8674,89.2287,89.4481,89.2567,-5.95
Michigan,"[-84.638671875,44.84029065139799]",0,Top 25,,55852.27,54280.33,51201.1,51864.02,94.0277,94.2807,94.8976,94.792,1.29
Ohio,"[-82.6611328125,40.40513069752789]",0,World,,51048.2,52641.38,51156.63,49298.84,3.2339,3.2457,3.4034,3.3976,-3.63
Louisiana,"[-92.26318359375,30.968189296794247]",0,Top 25,,48254.74,51459.98,38957.54,38552.75,76.2957,79.4502,80.0181,79.6235,-1.04
Unidentified,"[-126.71630859375, 40.98819156349393]",0,World,,47688.95,49023.85,46775.47,45767.93,3.0211,3.0227,3.1119,3.1542,-2.15
Ohio,"[-82.6611328125,40.40513069752789]",0,Top 25,,45641.05,47724.78,46567.81,45110.86,89.4078,90.6602,91.0299,91.5049,-3.13
Florida,"[-81.947021484375,28.87353946316266]",0,Top 25,,45621.9,42862.43,38694.31,38491.05,75.4302,73.3458,71.7896,73.951,-0.53
Pennsylvania,"[-78.28857421875,41.09591205639546]",0,World,,41180.77,40410.83,39437.33,36484.39,2.6088,2.4916,2.6237,2.5144,-7.49
Unidentified,"[-126.71630859375, 40.98819156349393]",0,Top 25,,40115.03,41482.73,40033.97,39522.1,84.1181,84.6174,85.5875,86.3533,-1.28
Georgia,"[-83.419189453125,32.99023555965106]",0,World,,37578.24,39412.65,38595.25,35644.33,2.3806,2.4301,2.5677,2.4565,-7.65
New Jersey,"[-74.48181152343749,40.136890695345905]",0,World,,36611.87,36586.97,32063.57,31222.79,2.3194,2.2558,2.1332,2.1518,-2.62
Pennsylvania,"[-78.28857421875,41.09591205639546]",0,Top 25,,35248.51,35156.6,34666.51,31900.68,85.5946,86.998,87.9028,87.4365,-7.98
Indiana,"[-86.15478515625,39.85072092501597]",0,World,,34216.02,35589.05,33818.78,34654.96,2.1676,2.1943,2.2499,2.3883,2.47
Tennessee,"[-85.98175048828124, 35.980228800645676]",0,World,,32473.72,33250.9,32587.84,31432.68,2.0572,2.0502,2.168,2.1663,-3.54
Indiana,"[-86.15478515625,39.85072092501597]",0,Top 25,,31687.76,32613.06,31193.98,32011.58,92.6109,91.6379,92.2386,92.3723,2.62
New Jersey,"[-74.48181152343749,40.136890695345905]",0,Top 25,,29974.3,30640.44,27512.03,26867.35,81.8704,83.7469,85.8046,86.0505,-2.34
North Carolina,"[-79.530029296875,35.55010533588552]",0,World,,29347.12,31420,30201.81,30161.26,1.8592,1.9373,2.0093,2.0786,-0.13
Georgia,"[-83.419189453125,32.99023555965106]",0,Top 25,,28919.59,30145.76,30324.65,27899.68,76.9583,76.4875,78.5709,78.2724,-8
Tennessee,"[-85.98175048828124, 35.980228800645676]",0,Top 25,,28802.3,29632.87,29083.57,28299.49,88.6942,89.119,89.2467,90.0321,-2.7
Massachusetts,"[-72.0703125,42.32606244456202]",0,World,,26812.02,27384.17,25290.12,25891.74,1.6986,1.6884,1.6825,1.7844,2.38
South Carolina,"[-80.9197998046875, 33.904616008362325]",0,World,,26341.16,29773.01,30988.7,31321.94,1.6687,1.8357,2.0617,2.1586,1.08
Michigan,"[-84.638671875,44.84029065139799]",1,Canada,"[-105.64453124999999,57.61010702068388]",26174.97,25674.65,23515.55,23712.09,44.0658,44.5949,43.5844,43.3387,0.84
Texas,"[-98.82202148437499, 31.80055833029521]",2,Canada,"[-105.64453124999999,57.61010702068388]",26054.31,31376.85,25508.74,19960.12,9.3817,10.9879,10.2607,8.6368,-21.75
Kentucky,"[-85.26489257812499,37.501010429493284]",0,World,,25411.72,27757.39,27643.94,29199.16,1.6098,1.7114,1.8391,2.0123,5.63
North Carolina,"[-79.530029296875,35.55010533588552]",0,Top 25,,24931.91,26494.82,26024.22,26294.18,84.9552,84.3247,86.1677,87.1787,1.04
Massachusetts,"[-72.0703125,42.32606244456202]",0,Top 25,,24061.98,24583.77,22937,23414.52,89.7433,89.7736,90.6955,90.4324,2.08
California,"[-119.7509765625,36.84446074079564]",1,Mexico,"[-102.3046875,23.926013033021192]",23911.01,25450.08,26787.77,25266.1,14.2165,14.6375,16.1977,15.4521,-5.68
Kentucky,"[-85.26489257812499,37.501010429493284]",0,Top 25,,23596.04,26075.75,26040.35,27744.36,92.855,93.9416,94.1992,95.0177,6.54
Wisconsin,"[-89.77203369140625, 44.70575417971902]",0,World,,23110.47,23425.57,22438.28,21021.23,1.4641,1.4444,1.4928,1.4487,-6.32
South Carolina,"[-80.9197998046875, 33.904616008362325]",0,Top 25,,22176.96,24054.27,27016.68,28275.08,84.1913,80.7922,87.1823,90.2724,4.66
Minnesota,"[-94.02099609375,46.30899569419859]",0,World,,20760.14,21397.6,20016.17,19202.45,1.3152,1.3193,1.3317,1.3234,-4.07
Illinois,"[-89.000244140625,40.10328591293439]",1,Canada,"[-105.64453124999999,57.61010702068388]",20305.07,22114.46,17459.7,15947.84,30.6663,32.3339,27.5381,26.6874,-8.66
Ohio,"[-82.6611328125,40.40513069752789]",1,Canada,"[-105.64453124999999,57.61010702068388]",20059.24,20835.68,20314.08,19212.81,39.2947,39.5804,39.7096,38.9721,-5.42
Puerto Rico,"[-66.533203125,18.2397859708389]",0,World,,19965.85,20280.63,20179.48,19886.71,1.2648,1.2504,1.3425,1.3705,-1.45
Wisconsin,"[-89.77203369140625, 44.70575417971902]",0,Top 25,,19879.25,20256.79,19732.37,18558.04,86.0184,86.473,87.9407,88.2823,-5.95
Unidentified,"[-126.71630859375, 40.98819156349393]",1,Canada,"[-105.64453124999999,57.61010702068388]",19648.41,20982.06,20755.99,21081.61,41.2012,42.7997,44.3737,46.062,1.57
Arizona,"[-112.093505859375,33.44977658311846]",0,World,,19478.29,21247.28,22655.35,22016.24,1.234,1.31,1.5072,1.5173,-2.82
Alabama,"[-86.3092803955078,32.36662317982762]",0,World,,19301.32,19450.4,19328.18,20422.13,1.2228,1.1993,1.2859,1.4074,5.66
Puerto Rico,"[-66.533203125,18.2397859708389]",0,Top 25,,19111.47,19305.01,19312.97,18951.9,95.7208,95.1894,95.706,95.2993,-1.87
California,"[-119.7509765625,36.84446074079564]",2,Canada,"[-105.64453124999999,57.61010702068388]",18884.8,18334.79,17262.18,16237.08,11.2282,10.5452,10.4379,9.9302,-5.94
Oregon,"[-120.21240234375001,43.76315996157264]",0,World,,18633.58,20888.78,20085.72,21752.61,1.1804,1.2879,1.3363,1.4991,8.3
Minnesota,"[-94.02099609375,46.30899569419859]",0,Top 25,,18333.07,19101.33,17802.23,17180.03,88.309,89.2686,88.9392,89.4679,-3.5
Arizona,"[-112.093505859375,33.44977658311846]",0,Top 25,,17990.21,19736.03,21213.9,20761.46,92.3603,92.8873,93.6375,94.3006,-2.13
Virginia,"[-78.62091064453125, 37.67077737288316]",0,World,,17896.13,19390.79,17801.26,16313.18,1.1337,1.1956,1.1843,1.1243,-8.36
Alabama,"[-86.3092803955078,32.36662317982762]",0,Top 25,,17096.46,17318.52,17535.82,18537.02,88.5766,89.0394,90.7267,90.7693,5.71
New York,"[-75.706787109375,42.771211138625894]",1,Canada,"[-105.64453124999999,57.61010702068388]",16862.7,17063.51,14912.72,15029.8,19.5154,19.2082,17.9381,19.5904,0.79
Washington,"[-120.1080322265625, 48.011975126709956]",1,China,"[106.435546875,34.23451236236987]",16710.78,20693.34,19485.05,16129.78,20.4714,22.8509,22.5577,20.2739,-17.22
Connecticut,"[-72.6800537109375,41.67086022030498]",0,World,,16426.68,15962.84,15242.37,14394.22,1.0406,0.9842,1.0141,0.992,-5.56
Oregon,"[-120.21240234375001,43.76315996157264]",0,Top 25,,16347.05,18958.59,18663.78,20377.93,87.729,90.7597,92.9207,93.6804,9.18
California,"[-119.7509765625,36.84446074079564]",3,China,"[106.435546875,34.23451236236987]",16295.19,16068.57,14384.75,14340.83,9.6885,9.2418,8.698,8.7705,-0.31
Utah,"[-111.6046142578125, 39.24501680713314]",0,World,,16111.19,12224.1,13308.38,12077.72,1.0207,0.7537,0.8854,0.8324,-9.25
Utah,"[-111.6046142578125, 39.24501680713314]",0,Top 25,,15204.98,11330.75,12460.48,11311.69,94.3753,92.6918,93.6289,93.6575,-9.22
Connecticut,"[-72.6800537109375,41.67086022030498]",0,Top 25,,14388.89,14017.11,13676.18,13149.8,87.5946,87.8108,89.7248,91.3547,-3.85
Virginia,"[-78.62091064453125, 37.67077737288316]",0,Top 25,,14114.58,15348.29,14271.37,13067.37,78.8694,79.1525,80.1706,80.1031,-8.44
Iowa,"[-93.55957031249999,42.05745022024682]",0,World,,13903.37,15111.53,13233.61,12115.44,0.8808,0.9317,0.8804,0.835,-8.45
Missouri,"[-92.515869140625,38.151837403006766]",0,World,,12958.22,14189.64,13647.81,13934.62,0.8209,0.8749,0.908,0.9603,2.1
Michigan,"[-84.638671875,44.84029065139799]",2,Mexico,"[-102.3046875,23.926013033021192]",12889.77,12407.11,11792.89,12013.04,21.7,21.5502,21.8573,21.9563,1.87
California,"[-119.7509765625,36.84446074079564]",4,Japan,"[138.8671875,36.4566360115962]",12739.04,12209.6,11743,11765.7,7.5741,7.0223,7.1006,7.1956,0.19
Kansas,"[-98.19580078125,38.53957267203905]",0,World,,12459.17,12021.86,10690.24,10181.35,0.7893,0.7412,0.7112,0.7017,-4.76
Mississippi,"[-90.010986328125,32.8149783969858]",0,World,,12415.15,11484.93,10848.36,10494.72,0.7865,0.7081,0.7217,0.7233,-3.26
Iowa,"[-93.55957031249999,42.05745022024682]",0,Top 25,,12390.37,13483.23,11836.34,10819.92,89.1177,89.2248,89.4416,89.3069,-8.59
Indiana,"[-86.15478515625,39.85072092501597]",1,Canada,"[-105.64453124999999,57.61010702068388]",11817.38,12250.96,10988.27,11511.9,34.5376,34.4234,32.4916,33.2186,4.77
Maryland,"[-76.83425903320312,39.470125122358176]",0,World,,11746.72,12228.28,10051.8,9658.23,0.7442,0.754,0.6687,0.6656,-3.92
Pennsylvania,"[-78.28857421875,41.09591205639546]",1,Canada,"[-105.64453124999999,57.61010702068388]",11723.64,12333.03,11676.63,9989.54,28.4687,30.5191,29.6081,27.3803,-14.45
Missouri,"[-92.515869140625,38.151837403006766]",0,Top 25,,11420.32,12765.45,12360.16,12782.81,88.1318,89.9631,90.5652,91.7342,3.42
Texas,"[-98.82202148437499, 31.80055833029521]",3,China,"[106.435546875,34.23451236236987]",10847.29,10918.89,11499.98,10793.29,3.9059,3.8237,4.6258,4.6703,-6.15
Texas,"[-98.82202148437499, 31.80055833029521]",4,Brazil,"[-51.240234375,-9.44906182688142]",10845.69,11833.57,7221.35,7062.29,3.9053,4.144,2.9047,3.0559,-2.2
Kansas,"[-98.19580078125,38.53957267203905]",0,Top 25,,10613,10168.7,9267.04,8739.65,85.1822,84.5851,86.6869,85.8398,-5.69
Mississippi,"[-90.010986328125,32.8149783969858]",0,Top 25,,10399.28,9850.12,9320.13,9160.96,83.7628,85.7656,85.9128,87.2911,-1.71
New York,"[-75.706787109375,42.771211138625894]",3,Switzerland,"[8.3880615234375,46.76620587423741]",10042.05,8741.03,8315.69,6455.83,11.6218,9.8397,10.0027,8.4148,-22.37
Texas,"[-98.82202148437499, 31.80055833029521]",6,Netherlands,"[5.537109374999999,52.02545860348814]",9500.08,8756.27,6731.71,6373.01,3.4208,3.0664,2.7078,2.7576,-5.33
New York,"[-75.706787109375,42.771211138625894]",2,Hong Kong,"[114.13970947265625,22.403410892712124]",9310.13,10790.06,9551.22,7430.42,10.7747,12.1463,11.4889,9.6851,-22.2
Washington,"[-120.1080322265625, 48.011975126709956]",3,Canada,"[-105.64453124999999,57.61010702068388]",8992.52,9297.59,8018.14,7035.41,11.0162,10.267,9.2825,8.8429,-12.26
Maryland,"[-76.83425903320312,39.470125122358176]",0,Top 25,,8790.44,9456.48,8219.63,8318.65,74.8332,77.3329,81.7727,86.1302,1.2
West Virginia,"[-80.71380615234375, 38.732661120482334]",0,World,,8731.72,7597.01,5833.11,5045.39,0.5532,0.4684,0.3881,0.3477,-13.5
Tennessee,"[-85.98175048828124, 35.980228800645676]",1,Canada,"[-105.64453124999999,57.61010702068388]",8719.9,9161.43,8678.32,8722.25,26.8522,27.5524,26.6305,27.749,0.51
Nevada,"[-116.8505859375,39.45316112807394]",0,World,,8701.08,7691.75,8666.46,9763.16,0.5512,0.4743,0.5766,0.6729,12.65
Colorado,"[-105.677490234375,39.198205348894795]",0,World,,8545.01,8363.71,7950.33,7580.28,0.5413,0.5157,0.5289,0.5224,-4.65
California,"[-119.7509765625,36.84446074079564]",6,"Korea, South","[128.056640625,36.527294814546245]",8368.05,8600.54,8683.49,8213.56,4.9753,4.9466,5.2506,5.0232,-5.41
Nevada,"[-116.8505859375,39.45316112807394]",0,Top 25,,8145.73,7114.34,8060.95,9163.91,93.6174,92.4932,93.0133,93.8621,13.68
West Virginia,"[-80.71380615234375, 38.732661120482334]",0,Top 25,,8135.12,7065.75,5413.59,4781.3,93.1675,93.0069,92.8079,94.7657,-11.68
Louisiana,"[-92.26318359375,30.968189296794247]",1,China,"[106.435546875,34.23451236236987]",7949.04,8436.7,6554.78,7977.76,12.5682,13.0256,13.4634,16.4766,21.71
Texas,"[-98.82202148437499, 31.80055833029521]",5,"Korea, South","[128.056640625,36.527294814546245]",7830.24,9074.56,8094.15,6892.71,2.8195,3.1778,3.2558,2.9825,-14.84
California,"[-119.7509765625,36.84446074079564]",5,Hong Kong,"[114.13970947265625,22.403410892712124]",7791.65,8533.14,8761.15,9661.97,4.6326,4.9078,5.2976,5.909,10.28
Kentucky,"[-85.26489257812499,37.501010429493284]",1,Canada,"[-105.64453124999999,57.61010702068388]",7773.93,7688.21,7259.5,7477.81,30.5919,27.6979,26.2607,25.6097,3.01
Colorado,"[-105.677490234375,39.198205348894795]",0,Top 25,,7625.95,7462.97,7123.37,6803.17,89.2444,89.2305,89.5984,89.7482,-4.5
Wisconsin,"[-89.77203369140625, 44.70575417971902]",1,Canada,"[-105.64453124999999,57.61010702068388]",7527.47,7952.8,7314.55,6607.17,32.5717,33.9492,32.5985,31.4309,-9.67
California,"[-119.7509765625,36.84446074079564]",7,Taiwan,"[120.9375,23.725011735951796]",7521.48,7461.78,7727.42,6984.64,4.472,4.2916,4.6725,4.2716,-9.61
Nebraska,"[-99.7998046875,41.812267143599804]",0,World,,7392.99,7889.68,6663.4,6380.35,0.4684,0.4865,0.4433,0.4397,-4.25
Illinois,"[-89.000244140625,40.10328591293439]",2,Mexico,"[-102.3046875,23.926013033021192]",7374.07,8010.93,9110.89,9484.63,11.1369,11.7129,14.3701,15.8718,4.1
Arkansas,"[-92.28515625,35.06597313798418]",0,World,,7160.84,6866.25,5869.47,5707.47,0.4536,0.4234,0.3905,0.3933,-2.76
Texas,"[-98.82202148437499, 31.80055833029521]",11,Colombia,"[-73.037109375,3.8204080831949407]",7095.8,7249.24,5827.54,3849.93,2.5551,2.5386,2.3441,1.6659,-33.94
Arizona,"[-112.093505859375,33.44977658311846]",1,Mexico,"[-102.3046875,23.926013033021192]",7070.8,8623.78,9161.95,8283.85,36.3009,40.5877,40.4406,37.6261,-9.58
Washington,"[-120.1080322265625, 48.011975126709956]",2,Japan,"[138.8671875,36.4566360115962]",7037.19,7366.06,6000.56,7134.36,8.6208,8.1341,6.9468,8.9673,18.89
Oklahoma,"[-97.49267578125,35.65729624809628]",0,World,,6919.75,6308.26,5250.67,5047.88,0.4384,0.3889,0.3493,0.3479,-3.86
New Jersey,"[-74.48181152343749,40.136890695345905]",1,Canada,"[-105.64453124999999,57.61010702068388]",6792.83,6960.82,6579.53,6346.98,18.5536,19.0254,20.5203,20.328,-3.53
North Carolina,"[-79.530029296875,35.55010533588552]",1,Canada,"[-105.64453124999999,57.61010702068388]",6737.11,6797.35,6863.1,6407.2,22.9566,21.6338,22.7241,21.2431,-6.64
Nebraska,"[-99.7998046875,41.812267143599804]",0,Top 25,,6683.72,7171.11,6119.3,5884.35,90.4062,90.8922,91.8345,92.2261,-3.84
Unidentified,"[-126.71630859375, 40.98819156349393]",2,Mexico,"[-102.3046875,23.926013033021192]",6595.46,7024.47,6726.99,6462.26,13.8302,14.3287,14.3814,14.1196,-3.94
Louisiana,"[-92.26318359375,30.968189296794247]",2,Mexico,"[-102.3046875,23.926013033021192]",6400.29,7343.32,5882.22,5483.52,10.1195,11.3375,12.082,11.3252,-6.78
Georgia,"[-83.419189453125,32.99023555965106]",1,Canada,"[-105.64453124999999,57.61010702068388]",6336.59,6506.39,6499.23,5856.14,16.8624,16.5084,16.8394,16.4294,-9.89
Arkansas,"[-92.28515625,35.06597313798418]",0,Top 25,,6087.83,5513.59,5011.84,5016.4,85.0156,80.2998,85.3883,87.8919,0.09
Minnesota,"[-94.02099609375,46.30899569419859]",1,Canada,"[-105.64453124999999,57.61010702068388]",5810.5,5610.33,4454.38,4059.8,27.9887,26.2194,22.2539,21.1421,-8.86
Idaho,"[-114.521484375,44.37098696297173]",0,World,,5789.45,5137.76,4294.8,4876.8,0.3668,0.3168,0.2857,0.3361,13.55
Texas,"[-98.82202148437499, 31.80055833029521]",8,Singapore,"[103.84552001953125,1.3154972002419345]",5735.12,5485.72,4913.64,4718.48,2.0651,1.921,1.9765,2.0417,-3.97
Illinois,"[-89.000244140625,40.10328591293439]",3,China,"[106.435546875,34.23451236236987]",5695.04,4714.41,4874.66,5108.34,8.6011,6.893,7.6885,8.5484,4.79
Oklahoma,"[-97.49267578125,35.65729624809628]",0,Top 25,,5644.53,5122.8,4373.54,4359.43,81.5713,81.2078,83.295,86.3616,-0.32
California,"[-119.7509765625,36.84446074079564]",10,Germany,"[10.17333984375,51.12421275782688]",5590.58,5428.98,5344.66,5352.38,3.3239,3.1225,3.2318,3.2734,0.14
Utah,"[-111.6046142578125, 39.24501680713314]",2,Hong Kong,"[114.13970947265625,22.403410892712124]",5527.65,1760.56,1947.34,1506.78,34.3094,14.4023,14.6324,12.4757,-22.62
Idaho,"[-114.521484375,44.37098696297173]",0,Top 25,,5493.21,4858.66,4088.3,4710.69,94.8832,94.5678,95.1917,96.594,15.22
Texas,"[-98.82202148437499, 31.80055833029521]",20,Venezuela,"[-65.10498046875,7.689217127736191]",5368.46,4574.62,3945.08,2266.8,1.9331,1.602,1.5869,0.9808,-42.54
Florida,"[-81.947021484375,28.87353946316266]",1,Brazil,"[-51.240234375,-9.44906182688142]",5330.7,5088.01,3696.79,3602.67,8.8137,8.7066,6.8587,6.9216,-2.55
Delaware,"[-75.45135498046875,38.982897808179985]",0,World,,5327.27,5267.42,5407.85,4532.42,0.3375,0.3248,0.3598,0.3124,-16.19
California,"[-119.7509765625,36.84446074079564]",11,India,"[78.662109375,22.228090416784486]",5263.88,5270.54,4568.4,5129.29,3.1297,3.0313,2.7624,3.1369,12.28
Ohio,"[-82.6611328125,40.40513069752789]",2,Mexico,"[-102.3046875,23.926013033021192]",5240.82,6411.78,6660.32,6462.5,10.2664,12.1801,13.0195,13.1088,-2.97
New York,"[-75.706787109375,42.771211138625894]",5,Israel,"[34.87060546875,31.09998179374943]",5226.02,6353.64,5354.66,4895.36,6.0481,7.1522,6.441,6.3808,-8.58
Texas,"[-98.82202148437499, 31.80055833029521]",7,Japan,"[138.8671875,36.4566360115962]",5111.16,5590.41,5071.62,6193.33,1.8404,1.9577,2.04,2.6799,22.12
New York,"[-75.706787109375,42.771211138625894]",9,China,"[106.435546875,34.23451236236987]",5036.66,4291.82,3745.85,2774.45,5.829,4.8313,4.5058,3.6163,-25.93
New York,"[-75.706787109375,42.771211138625894]",4,United Kingdom,"[-2.0654296875,54.16243396806779]",5008.53,6217.66,5875.59,5543.67,5.7964,6.9992,7.0676,7.2258,-5.65
South Carolina,"[-80.9197998046875, 33.904616008362325]",1,China,"[106.435546875,34.23451236236987]",4878.64,4229.93,4435.6,6432.3,18.521,14.2072,14.3136,20.5361,45.02
California,"[-119.7509765625,36.84446074079564]",8,Netherlands,"[5.537109374999999,52.02545860348814]",4805.82,5352.93,5634.24,5459.97,2.8574,3.0787,3.4069,3.3392,-3.09
Delaware,"[-75.45135498046875,38.982897808179985]",0,Top 25,,4683.89,4570.9,4866.24,4076.48,87.923,86.7769,89.9849,89.9404,-16.23
Texas,"[-98.82202148437499, 31.80055833029521]",12,Belgium,"[4.7515869140625,50.73297844827752]",4663.61,4619.3,4593.71,3660.25,1.6793,1.6176,1.8478,1.5838,-20.32
California,"[-119.7509765625,36.84446074079564]",9,United Kingdom,"[-2.0654296875,54.16243396806779]",4600.87,4985.74,5149.62,5432.87,2.7355,2.8675,3.1138,3.3226,5.5
Texas,"[-98.82202148437499, 31.80055833029521]",15,Chile,"[-71.3671875,-35.46066995149529]",4582.73,4017.81,3010.18,2724.3,1.6502,1.407,1.2108,1.1788,-9.5
Florida,"[-81.947021484375,28.87353946316266]",2,Canada,"[-105.64453124999999,57.61010702068388]",4547.14,3966.3,3904.61,3501.54,7.5181,6.7871,7.2442,6.7273,-10.32
Alaska,"[-151.611328125,65.25670649344259]",0,World,,4527.82,5111.16,4619.7,4347.5,0.2868,0.3151,0.3073,0.2996,-5.89
Tennessee,"[-85.98175048828124, 35.980228800645676]",2,Mexico,"[-102.3046875,23.926013033021192]",4484.46,5077.21,4911.86,4466.48,13.8095,15.2694,15.0727,14.2097,-9.07
Alaska,"[-151.611328125,65.25670649344259]",0,Top 25,,4439.96,4932.8,4549.73,4298.68,98.0594,96.5102,98.4854,98.8772,-5.52
Iowa,"[-93.55957031249999,42.05745022024682]",1,Canada,"[-105.64453124999999,57.61010702068388]",4432.2,4617.34,3873.38,3368.83,31.8786,30.555,29.2692,27.8061,-13.03
North Dakota,"[-100.43701171875,47.4355191531953]",0,World,,4401.7,5513.08,4026.78,5313.34,0.2789,0.3399,0.2679,0.3662,31.95
Alabama,"[-86.3092803955078,32.36662317982762]",1,Canada,"[-105.64453124999999,57.61010702068388]",4304.87,4257.49,4072.1,4134.51,22.3035,21.889,21.0682,20.2452,1.53
California,"[-119.7509765625,36.84446074079564]",12,Singapore,"[103.84552001953125,1.3154972002419345]",4162.2,4443.92,3925.9,3889.2,2.4747,2.5559,2.3739,2.3785,-0.93
Michigan,"[-84.638671875,44.84029065139799]",3,China,"[106.435546875,34.23451236236987]",4135.84,3402.51,3210.28,3268.46,6.9627,5.9099,5.95,5.9738,1.81
North Dakota,"[-100.43701171875,47.4355191531953]",0,Top 25,,4101.68,5222.66,3800.52,5176.77,93.184,94.7321,94.3811,97.4298,36.21
Texas,"[-98.82202148437499, 31.80055833029521]",9,Taiwan,"[120.9375,23.725011735951796]",4101.5,4071.43,3271.39,4298.67,1.4769,1.4258,1.3159,1.86,31.4
Indiana,"[-86.15478515625,39.85072092501597]",2,Mexico,"[-102.3046875,23.926013033021192]",4063.07,5137.81,4916.77,4887.87,11.8748,14.4365,14.5386,14.1044,-0.59
Vermont,"[-72.740478515625, 44.03824429423549]",0,World,,4026.54,3669.61,3181.49,2989.76,0.2551,0.2263,0.2117,0.206,-6.03
Missouri,"[-92.515869140625,38.151837403006766]",1,Canada,"[-105.64453124999999,57.61010702068388]",3966.22,4725.09,4518.74,5233.96,30.6077,33.2995,33.1096,37.5608,15.83
Vermont,"[-72.740478515625, 44.03824429423549]",0,Top 25,,3910.64,3561.86,3075.98,2896.48,97.1217,97.0638,96.6834,96.8799,-5.84
Washington,"[-120.1080322265625, 48.011975126709956]",4,United Arab Emirates,"[54.4921875,23.75518176611264]",3870.31,3271.82,3211.21,4157.62,4.7413,3.6129,3.7176,5.2258,29.47
Texas,"[-98.82202148437499, 31.80055833029521]",14,Saudi Arabia,"[46.23046874999999,24.206889622398023]",3845.38,3600.52,3332.53,2784.19,1.3846,1.2609,1.3405,1.2047,-16.45
Texas,"[-98.82202148437499, 31.80055833029521]",10,United Kingdom,"[-2.0654296875,54.16243396806779]",3739.63,4424.93,4274.9,3986.79,1.3466,1.5496,1.7196,1.7251,-6.74
Massachusetts,"[-72.0703125,42.32606244456202]",1,Canada,"[-105.64453124999999,57.61010702068388]",3734.23,3700.66,3165.51,3107.23,13.9275,13.5139,12.5168,12.0009,-1.84
South Carolina,"[-80.9197998046875, 33.904616008362325]",3,Canada,"[-105.64453124999999,57.61010702068388]",3733.31,3628.88,3692.7,3478.35,14.1729,12.1885,11.9163,11.1052,-5.8
Georgia,"[-83.419189453125,32.99023555965106]",3,China,"[106.435546875,34.23451236236987]",3729.13,3083.9,2652.87,2581.24,9.9236,7.8246,6.8736,7.2417,-2.7
Texas,"[-98.82202148437499, 31.80055833029521]",16,France,"[2.28515625,47.15984001304432]",3718.54,3203.68,2598.82,2440.39,1.339,1.1219,1.0454,1.056,-6.1
California,"[-119.7509765625,36.84446074079564]",13,Australia,"[134.560546875,-25.641526373065755]",3672.71,3795.03,3435.92,3371.22,2.1837,2.1827,2.0776,2.0617,-1.88
New Hampshire,"[-71.575927734375,43.68773584519811]",0,World,,3511.05,4233.17,4001.33,4143.02,0.2224,0.261,0.2662,0.2855,3.54
Pennsylvania,"[-78.28857421875,41.09591205639546]",2,Mexico,"[-102.3046875,23.926013033021192]",3452.87,3729.67,4179.69,3675.39,8.3847,9.2294,10.5983,10.0739,-12.07
Florida,"[-81.947021484375,28.87353946316266]",15,Switzerland,"[8.3880615234375,46.76620587423741]",3417.79,1087.83,1454.87,1243.85,5.6509,1.8615,2.6992,2.3898,-14.5
Oregon,"[-120.21240234375001,43.76315996157264]",1,China,"[106.435546875,34.23451236236987]",3380.09,4263.24,4824.58,5813.12,18.1398,20.4092,24.02,26.7238,20.49
Ohio,"[-82.6611328125,40.40513069752789]",3,China,"[106.435546875,34.23451236236987]",3373.34,3883.63,3358.01,3752.24,6.6081,7.3775,6.5642,7.6112,11.74
