statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Mississippi,"[-90.010986328125,32.8149783969858]",15,United Kingdom,"[-2.0654296875,54.16243396806779]",206.95,216.28,167.45,170.94,1.6669,1.8832,1.5435,1.6288,2.08
Oregon,"[-120.21240234375001,43.76315996157264]",21,France,"[2.28515625,47.15984001304432]",206.52,208.01,183.66,181.07,1.1083,0.9958,0.9144,0.8324,-1.41
Rhode Island,"[-71.575927734375,41.668808555620586]",6,Germany,"[10.17333984375,51.12421275782688]",206.04,126.57,108.31,96.11,9.5207,5.2993,5.0788,4.2195,-11.27
Arkansas,"[-92.28515625,35.06597313798418]",20,Brazil,"[-51.240234375,-9.44906182688142]",205.04,241.24,132.82,59.96,2.8634,3.5134,2.2629,1.0506,-54.86
Indiana,"[-86.15478515625,39.85072092501597]",19,United Arab Emirates,"[54.4921875,23.75518176611264]",204.29,168.49,182.53,257.23,0.5971,0.4734,0.5397,0.7423,40.92
Alabama,"[-86.3092803955078,32.36662317982762]",17,Colombia,"[-73.037109375,3.8204080831949407]",204.14,215.32,187.19,174.13,1.0576,1.107,0.9685,0.8526,-6.98
Virginia,"[-78.62091064453125, 37.67077737288316]",20,Italy,"[13.0078125,42.5530802889558]",203.96,283.4,282.23,204.14,1.1397,1.4615,1.5855,1.2514,-27.67
Wisconsin,"[-89.77203369140625, 44.70575417971902]",18,Thailand,"[101.35986328125,15.813395760460585]",203.4,210.79,214.42,213.22,0.8801,0.8998,0.9556,1.0143,-0.56
Maryland,"[-76.83425903320312,39.470125122358176]",14,India,"[78.662109375,22.228090416784486]",202.87,225.68,234.7,230.21,1.727,1.8455,2.3349,2.3836,-1.91
Nevada,"[-116.8505859375,39.45316112807394]",7,Hong Kong,"[114.13970947265625,22.403410892712124]",202.73,236.57,270.43,179.01,2.3299,3.0756,3.1204,1.8336,-33.8
Arkansas,"[-92.28515625,35.06597313798418]",14,Germany,"[10.17333984375,51.12421275782688]",202.28,170.67,102.63,77.28,2.8248,2.4857,1.7485,1.354,-24.7
Kansas,"[-98.19580078125,38.53957267203905]",9,Australia,"[134.560546875,-25.641526373065755]",201.25,227.36,203.33,252.98,1.6153,1.8913,1.902,2.4848,24.42
Massachusetts,"[-72.0703125,42.32606244456202]",24,Saudi Arabia,"[46.23046874999999,24.206889622398023]",200.57,219.58,264.57,212.96,0.748,0.8018,1.0461,0.8225,-19.51
Oregon,"[-120.21240234375001,43.76315996157264]",18,Indonesia,"[120.234375,-2.0210651187669897]",200.33,148.58,90.4,200.88,1.0751,0.7113,0.4501,0.9235,122.22
New Jersey,"[-74.48181152343749,40.136890695345905]",24,Ireland,"[-7.745361328125,53.225768435790194]",197.87,173.82,199.86,243.75,0.5405,0.4751,0.6233,0.7807,21.96
Mississippi,"[-90.010986328125,32.8149783969858]",9,Germany,"[10.17333984375,51.12421275782688]",196.79,215.11,282.97,350.82,1.5851,1.873,2.6084,3.3429,23.98
